Solver:   GLPSOL 4.40 (options used: --pcost)
Computer: Intel Pentium 4, 3.0 GHz
Platform: Cygwin 1.5.25
Compiler: GCC 3.4.4 (options used: -O3)
Test set: MIPLIB 2.0 <http://miplib.zib.de/miplib3/miplib/>

Problem  Optimal Solution Cuts Used    Nodes  Iters Time,s Mem,MB
-------- ---------------- --------- -------- ------ ------ ------
air01    +6.796000000e+03                  3     41    < 1    1.2
air02    +7.810000000e+03                 43    201      6   13.8
air03    +3.401600000e+05                 33    414     12   21.0
air04    +5.613700000e+04               1901 109800    396   32.4
air05    +2.637400000e+04               6445 201649    452   45.0
air06    +4.964900000e+04                 11   6868     31   18.1
bell3a   +8.784303160e+05 --gomory      7965  42363     17    6.1
bell3b   +1.178616062e+07 --gomory      6031  30467     19    3.2
bell4    +1.854148420e+07 --gomory      7203  25019     16    2.9
bell5    +8.966406492e+06 --gomory      5605  18555      8    1.5
bm23     +3.400000000e+01                373    878    < 1    0.2
cracpb1  +2.219900000e+04                 47   5258      2    1.3
dcmulti  +1.881820000e+05                743   3366      2    1.1
diamond        infeasible                  3      4    < 1    0.1
dsbmip   -3.051981750e+02 --mir          217  46088     24    4.5
egout    +5.681007000e+02                 91    137    < 1    0.3
enigma   +0.000000000e+00              16419  55071      6    3.2
fixnet3  +5.197300000e+04                 81    380    < 1    1.4
fixnet4  +8.936000000e+03                211   1095      1    1.4
fixnet6  +3.983000000e+03               1031   3136      2    1.7
flugpl   +1.201500000e+06                397    231    < 1    0.1
gen      +1.123133627e+05                195   3991      1    1.7
khb05250 +1.069402260e+08               2163  14498      5    2.8
l152lav  +4.722000000e+03               7419  95299     68   12.0
lp4l     +2.967000000e+03                173   1331      2    1.7
lseu     +1.120000000e+03              10821  31954      5    2.5
misc01   +5.635000000e+02                769   4593      1    0.5
misc02   +1.690000000e+03                 29    282    < 1    0.2
misc03   +3.360000000e+03                957   6742      2    1.1
misc04   +2.666699247e+03                 17   2052      1    7.0
misc05   +2.984500000e+03                293   2520      1    1.1
misc06   +1.285086074e+04                 57    941    < 1    2.7
misc07   +2.810000000e+03 --mir        66075 579129    424   33.4
mod008   +3.070000000e+02               8185  24245      8    2.3
mod010   +6.548000000e+03                315   6283      7    5.3
mod011
mod013   +2.809500000e+02                545   1155    < 1    0.3
modglob  +2.074050809e+07 --mir         5197  31985     20    2.8
noswot
p0033    +3.089000000e+03                305    955    < 1    0.2
p0040    +6.202700000e+04                 17     66    < 1    0.1
p0201    +7.615000000e+03                521   3660      1    0.9
p0282    +2.584110000e+05                623   1204      1    0.8
p0291    +5.223749000e+03                 71    154    < 1    0.7
p0548    +8.691000000e+03               7617  23556      9    2.9
p2756    +3.124000000e+03 --mir         3911  15157     57   10.9
p6000    -2.451377000e+06              19209  40906    570   15.8
pipex    +7.882630000e+02               1569   2469    < 1    0.4
qiu      -1.328731369e+02              80473 1918742  1174   69.2
rentacar +3.035676098e+07                 43   1649      3   12.1
rgn      +8.219999924e+01               3325  18700      2    1.2
sample2  +3.750000000e+02                163    347    < 1    0.2
sentoy   -7.772000000e+03                335    723    < 1    0.4
set1al   +1.586975000e+04 --mir           17    532    < 1    1.5
set1ch
set1cl   +6.484250000e+03 --mir            1    502    < 1    1.1
stein15  +9.000000000e+00                 87    375    < 1    0.2
stein27  +1.800000000e+01               3255  15327      2    1.0
stein45  +3.000000000e+01              52301 389140    139   19.2
stein9   +5.000000000e+00                 17     45    < 1    0.1
vpm1     +2.000000000e+01 --mir            9    836    < 1    0.9

PROBLEM CHARACTERISTICS

Problem    Rows   Cols (   Int    0/1)   Nonz    Best Solution
-------- ------ ---------------------- ------ --------------------------
air01        24    771 (   all    all)   4986             6796 (opt)
air02        51   6774 (   all    all)  68329             7810 (opt)
air03       125  10757 (   all    all) 101785           340160 (opt)
air04       824   8904 (   all    all)  81869            56138 (opt)
air05       427   7195 (   all    all)  59316            26402 (not opt)
air06       826   8627 (   all    all)  79433            49649 (opt)
bell3a      124    133 (    71     39)    441        878430.32 (opt)
bell3b      124    133 (    71     39)    441      11786160.62 (opt)
bell4       106    117 (    64     34)    385      18541484.20 (opt)
bell5        92    104 (    58     30)    340       8966406.49 (opt)
bm23         21     27 (   all    all)    505               34 (opt)
cracpb1     144    572 (   all    all)   4730            22199 (opt)
dcmulti     291    548 (    75    all)   1833      188182.0000 (opt)
diamond       5      2 (   all    all)      9     integer infeasible
dsbmip     1855   1886 (   192    160)   9768         -305.198 (opt)
egout        99    141 (    55    all)    392          568.101 (opt)
enigma       22    100 (   all    all)    298              0.0 (opt)
fixnet3     479    878 (   378    all)   2631            51973 (opt)
fixnet4     479    878 (   378    all)   2621             8936 (opt)
fixnet6     479    878 (   378    all)   2550             3983 (opt)
flugpl       19     18 (    11   none)     64          1201500 (opt)
gen         781    870 (   150    144)   3174           112313 (opt)
khb05250    102   1350 (    24    all)   3973        106940226 (opt)
l152lav      98   1989 (   all    all)  11911             4750 (not opt)
lp4l         86   1086 (   all    all)   5763             2967 (opt)
lseu         29     89 (   all    all)    394             1120 (opt)
misc01       55     83 (    82    all)    746            563.5 (opt)
misc02       40     59 (    58    all)    414             1690 (opt)
misc03       97    160 (   159    all)   2054             3360 (opt)
misc04     1726   4897 (    30    all)  17253         2666.699 (opt)
misc05      301    136 (    74    all)   2946           2984.5 (opt)
misc06      821   1808 (   112    all)   5860       12850.8607 (opt)
misc07      213    260 (   259    all)   8620             2810 (not opt)
mod008        7    319 (   all    all)   1562              307 (opt)
mod010      147   2655 (   all    all)  13858             6548 (opt)
mod011     4482  10958 (    96    all)  37425        -54558535 (opt)
mod013       63     96 (    48    all)    288           280.95 (opt)
modglob     292    422 (    98    all)   1390         20740508 (opt)
noswot      183    128 (   100     75)    760              -43 (opt)
p0033        17     33 (   all    all)    131             3089 (opt)
p0040        24     40 (   all    all)    150            62027 (opt)
p0201       134    201 (   all    all)   2124             7615 (opt)
p0282       242    282 (   all    all)   2248           258411 (opt)
p0291       253    291 (   all    all)    349        5223.7490 (opt)
p0548       177    548 (   all    all)   2127             8691 (opt)
p2756       756   2756 (   all    all)  11103             3124 (opt)
p6000      2177   6000 (   all    all)  54238         -2451377 (opt)
pipex        26     48 (   all    all)    240          788.263 (opt)
qiu        1193    840 (    48    all)   3432      -132.873137 (opt)
rentacar   6804   9557 (    55    all)  42019         30356761 (opt)
rgn          25    180 (   100    all)    540          82.1999 (opt)
sample2      46     67 (    21    all)    179              375 (opt)
sentoy       31     60 (   all    all)   1860            -7772 (opt)
set1al      493    712 (   240    all)   1884          15869.7 (opt)
set1ch      493    712 (   240    all)   1884          54537.7 (opt)
set1cl      493    712 (   240    all)   1884          6484.25 (opt)
stein15      37     15 (   all    all)    135                9 (opt)
stein27     119     27 (   all    all)    405               18 (opt)
stein45     332     45 (   all    all)   1079               30 (opt)
stein9       14      9 (   all    all)     54                5 (opt)
vpm1        235    378 (   168    all)    917               20 (opt)
