Solver:   GLPSOL 4.40 (default options used)
Computer: Intel Pentium 4, 3.0 GHz
Platform: Cygwin 1.5.25
Compiler: GCC 3.4.4 (options used: -O3)
Test set: Netlib LP collection <ftp://ftp.netlib.org/lp/data/>

Problem    Rows   Cols   Nonz       Optimum        Iters  Time,s  Mem,MB
--------  -----  -----  ------  ----------------  ------  ------  ------
25fv47      822   1571   11127  +5.501845888e+03    1651     < 1     2.1
80bau3b    2263   9799   29063  +9.872241924e+05    5358       3     6.4
adlittle     57     97     465  +2.254949632e+05      71     < 1     0.1   
afiro        28     32      88  -4.647531429e+02      10     < 1     0.1
agg         489    163    2541  -3.599176729e+07     100     < 1     0.5
agg2        517    302    4515  -2.023925236e+07     178     < 1     0.8
agg3        517    302    4531  +1.031211594e+07     182     < 1     0.8
bandm       306    472    2659  -1.586280185e+02     252     < 1     0.6
beaconfd    174    262    3476  +3.359248581e+04      61     < 1     0.4
blend        75     83     521  -3.081214985e+01      41     < 1     0.1
bnl1        644   1175    6129  +1.977629562e+03     581     < 1     1.4
bnl2       2325   3489   16124  +1.811236540e+03    1730       1     3.7
boeing1     351    384    3865  -3.352135675e+02     419     < 1     0.7
boeing2     167    143    1339  -3.150187280e+02     161     < 1     0.3
bore3d      234    315    1525  +1.373080394e+03      38     < 1     0.3
brandy      221    249    2150  +1.518509896e+03     191     < 1     0.5
capri       272    353    1786  +2.690012914e+03     203     < 1     0.4
cycle      1904   2857   21322  -5.226393025e+00     953     < 1     3.5
czprob      930   3523   14173  +2.185196699e+06     754     < 1     2.6
d2q06c     2172   5167   35674  +1.227842108e+05    5368       7     6.2
d6cube      416   6184   43888  +3.154916667e+02    6596       6     6.0
degen2      445    534    4449  -1.435178000e+03     506     < 1     1.0
degen3     1504   1818   26230  -9.872940000e+02    2205       2     4.1
dfl001     6072  12230   41873  +1.126639605e+07   39863     117    11.0
e226        224    282    2767  -2.586492907e+01     206     < 1     0.5
etamacro    401    688    2489  -7.557152333e+02     444     < 1     0.7
fffff800    525    854    6235  +5.556795648e+05     167     < 1     1.0
finnis      498    614    2714  +1.727910656e+05     338     < 1     0.6
fit1d        25   1026   14430  -9.146378092e+03     488     < 1     1.7
fit1p       628   1677   10894  +9.146378092e+03    1379     < 1     1.9
fit2d        26  10500  138018  -6.846429329e+04    5751      16    15.8
fit2p      3001  13525   60784  +6.846429329e+04   11960      17    11.3
forplan     162    421    4916  -6.642189613e+02     170     < 1     0.7
ganges     1310   1681    7021  -1.095857361e+05     724     < 1     1.9
gfrd-pnc    617   1092    3467  +6.902236000e+06     416     < 1     1.0
greenbea   2393   5405   31499  -7.255524813e+07    3012       3     5.8
greenbeb   2393   5405   31499  -4.302260261e+06    2153       2     5.8
grow15      301    645    5665  -1.068709413e+08     358     < 1     1.1
grow22      441    946    8318  -1.608343365e+08     606     < 1     1.6
grow7       141    301    2633  -4.778781181e+07     159     < 1     0.5
israel      175    142    2358  -8.966448219e+05     123     < 1     0.4
kb2          44     41     291  -1.749900130e+03      38     < 1     0.1
lotfi       154    308    1086  -2.526470606e+01     104     < 1     0.3
maros       847   1443   10006  -5.806374370e+04     703     < 1     1.8
maros-r7   3137   9408  151120  +1.497185166e+06    2340       5    16.7
modszk1     688   1620    4158  +3.206197291e+02     705     < 1     1.4
nesm        663   2923   13988  +1.407603649e+07    2240       1     2.4
perold      626   1376    6026  -9.380755278e+03    1103     < 1     1.5
pilot      1442   3652   43220  -5.574831533e+02    5726      11     7.8
pilot-ja    941   1988   14706  -6.113136466e+03    1697       1     2.5
pilot-we    723   2789    9218  -2.720107533e+06    1382       1     2.3
pilot4      411   1000    5145  -2.581139259e+03     532     < 1     1.3
pilot87    2031   4883   73804  +3.017103744e+02    7573      28    12.2
pilotnov    976   2172   13129  -4.497276188e+03     988       1     2.5
recipe       92    180     752  -2.666160000e+02      17     < 1     0.2
sc105       106    103     281  -5.220206121e+01      51     < 1     0.2
sc205       206    203     552  -5.220206121e+01     124     < 1     0.3
sc50a        51     48     131  -6.457507706e+01      25     < 1     0.1
sc50b        51     48     119  -7.000000000e+01      30     < 1     0.1
scagr25     472    500    2029  -1.475343306e+07     352     < 1     0.7
scagr7      130    140     553  -2.331389824e+06      94     < 1     0.2
scfxm1      331    457    2612  +1.841675903e+04     281     < 1     0.6
scfxm2      661    914    5229  +3.666026156e+04     587     < 1     1.1
scfxm3      991   1371    7846  +5.490125455e+04     881     < 1     1.7
scorpion    389    358    1708  +1.878124823e+03     146     < 1     0.4
scrs8       491   1169    4029  +9.042969538e+02     545     < 1     1.1
scsd1        78    760    3148  +8.666666674e+00      91     < 1     0.6
scsd6       148   1350    5666  +5.050000008e+01     182     < 1     1.0
scsd8       398   2750   11334  +9.049999999e+02     397     < 1     2.1
sctap1      301    480    2052  +1.412250000e+03     196     < 1     0.5
sctap2     1091   1880    8124  +1.724807143e+03     425     < 1     1.7
sctap3     1481   2480   10734  +1.424000000e+03     729     < 1     2.4
seba        516   1028    4874  +1.571160000e+04     883     < 1     1.0
share1b     118    225    1182  -7.658931858e+04     167     < 1     0.3
share2b      97     79     730  -4.157322407e+02      87     < 1     0.2
shell       537   1775    4900  +1.208825346e+09     467     < 1     1.2
ship04l     403   2118    8450  +1.793324538e+06     373     < 1     1.5
ship04s     403   1458    5810  +1.798714700e+06     262     < 1     1.0
ship08l     779   4283   17085  +1.909055211e+06     516     < 1     2.9
ship08s     779   2387    9501  +1.920098211e+06     274     < 1     1.7
ship12l    1152   5427   21597  +1.470187919e+06     686     < 1     3.7
ship12s    1152   2763   10941  +1.489236134e+06     383     < 1     2.0
sierra     1228   2036    9252  +1.539436218e+07     857     < 1     2.1
stair       357    467    3857  -2.512669512e+02     399     < 1     1.0
standata    360   1075    3038  +1.257699500e+03     140     < 1     0.7
standgub    362   1184    3147  +1.257699500e+03     140     < 1     0.8
standmps    468   1075    3686  +1.406017500e+03     299     < 1     0.9
stocfor1    118    111     474  -4.113197622e+04      24     < 1     0.2
stocfor2   2158   2031    9492  -3.902440854e+04     499     < 1     2.6
stocfor3  16676  15695   74004  -3.997678394e+04    4456      11    19.7
truss      1001   8806   36642  +4.588158472e+05    4744       4     6.5
tuff        334    587    4523  +2.921477651e-01      61     < 1     0.8
vtp-base    199    203     914  +1.298314625e+05      69     < 1     0.2
wood1p      245   2594   70216  +1.442902412e+00     326     < 1     7.1
woodw      1099   8405   37478  +1.304476333e+00    1093     < 1     6.0
