/* disney.dat */

data;

param m := 50;

param n := 50;

param row : 1  2  3  4  5  6  7  :=
      1     8  .  .  .  .  .  .
      2     7  15 .  .  .  .  .
      3     2  2  19 .  .  .  .
      4     1  2  16 1  2  .  .
      5     1  5  14 1  .  .  .
      6     2  4  13 1  1  .  .
      7     6  12 5  .  .  .  .
      8     1  5  6  11 .  .  .
      9     1  4  5  4  8  .  .
      10    1  4  1  18 .  .  .
      11    1  5  2  11 4  .  .
      12    1  8  2  6  3  .  .
      13    1  7  1  3  2  .  .
      14    1  13 2  .  .  .  .
      15    1  12 1  .  .  .  .
      16    1  2  7  4  2  .  .
      17    2  3  4  2  .  .  .
      18    5  4  3  1  .  .  .
      19    8  4  3  1  .  .  .
      20    10 3  2  1  .  .  .
      21    12 1  1  .  .  .  .
      22    13 1  1  1  .  .  .
      23    15 1  1  3  .  .  .
      24    3  5  5  1  2  1  .
      25    4  5  5  2  4  2  .
      26    3  3  5  1  1  2  1
      27    3  3  2  4  2  2  .
      28    2  3  2  3  3  2  .
      29    2  4  3  3  5  .  .
      30    2  7  4  1  4  3  .
      31    3  13 1  4  5  .  .
      32    9  4  1  4  7  6  1
      33    8  1  1  2  1  15 .
      34    6  6  3  1  1  6  6
      35    6  3  8  1  2  6  6
      36    2  5  13 3  1  .  .
      37    5  1  11 3  4  .  .
      38    9  8  4  3  .  .  .
      39    9  6  3  10 3  .  .
      40    10 5  3  2  2  3  .
      41    10 6  3  2  10 .  .
      42    10 4  2  1  9  .  .
      43    11 3  2  2  4  .  .
      44    11 2  2  1  1  2  3
      45    8  2  2  2  8  .  .
      46    5  1  2  2  4  4  .
      47    6  2  2  2  3  4  .
      48    8  2  2  2  3  3  .
      49    10 2  4  3  1  5  4
      50    12 7  7  4  7  .  .
;

param col : 1  2  3  4  5  6  7  8  9  10 :=
      1     14 .  .  .  .  .  .  .  .  .
      2     9  15 .  .  .  .  .  .  .  .
      3     28 .  .  .  .  .  .  .  .  .
      4     7  5  14 .  .  .  .  .  .  .
      5     6  4  14 .  .  .  .  .  .  .
      6     5  5  8  4  .  .  .  .  .  .
      7     7  6  8  3  .  .  .  .  .  .
      8     19 8  3  .  .  .  .  .  .  .
      9     16 9  2  .  .  .  .  .  .  .
      10    15 2  5  2  .  .  .  .  .  .
      11    8  3  1  3  1  .  .  .  .  .
      12    4  7  2  2  3  1  .  .  .  .
      13    2  12 6  3  1  2  .  .  .  .
      14    1  1  12 1  2  .  .  .  .  .
      15    1  4  9  2  1  2  .  .  .  .
      16    1  6  5  6  1  .  .  .  .  .
      17    1  7  5  3  5  1  1  .  .  .
      18    1  8  8  6  2  1  .  .  .  .
      19    2  1  7  5  9  1  .  .  .  .
      20    2  2  7  6  9  1  .  .  .  .
      21    6  15 9  2  .  .  .  .  .  .
      22    7  5  4  14 1  .  .  .  .  .
      23    8  4  4  3  6  1  1  .  .  .
      24    9  5  2  7  3  2  3  .  .  .
      25    9  7  4  10 1  2  1  .  .  .
      26    8  2  4  2  5  2  2  2  1  .
      27    7  2  6  2  3  5  2  1  .  .
      28    7  4  4  2  5  2  2  1  .  .
      29    7  3  4  1  1  2  1  .  .  .
      30    7  3  4  1  2  2  2  .  .  .
      31    8  6  1  1  2  1  .  .  .  .
      32    6  1  3  1  2  1  2  .  .  .
      33    4  1  3  2  2  1  2  2  .  .
      34    4  1  3  1  3  1  2  2  2  .
      35    3  5  1  1  1  2  1  1  1  2
      36    2  6  1  1  3  1  1  3  .  .
      37    2  5  1  5  6  1  3  .  .  .
      38    2  6  2  6  3  2  .  .  .  .
      39    1  4  2  6  2  2  1  .  .  .
      40    2  5  3  4  1  2  2  .  .  .
      41    3  7  3  1  10 .  .  .  .  .
      42    5  2  1  9  .  .  .  .  .  .
      43    3  2  2  2  6  .  .  .  .  .
      44    2  1  1  2  3  2  .  .  .  .
      45    4  2  2  2  1  .  .  .  .  .
      46    4  1  2  3  1  .  .  .  .  .
      47    4  1  1  2  3  2  .  .  .  .
      48    6  4  6  .  .  .  .  .  .  .
      49    3  3  5  .  .  .  .  .  .  .
      50    3  2  3  .  .  .  .  .  .  .
;

end;
